ts,rot,invx,invy,panx,pany,ks_h,ks_v,pin_x,pin_y,lead,opix,opix_exp,eol,starved,result,tl_x,tl_y,tr_x,tr_y,br_x,br_y,bl_x,bl_y
1782670249,0,4096,4096,0,0,0,0,0,0,12288,2073600,2073600,1080,11127,FULL,-100,-100,-100,100,100,-100,-100,-100
1782670250,0,4096,4096,0,0,0,0,0,0,16384,2073600,2073600,1080,11127,FULL,-100,-100,-100,100,100,-100,-100,-100
1782670251,0,4096,4096,0,0,0,0,0,0,24576,2073600,2073600,1080,11127,FULL,-100,-100,-100,100,100,-100,-100,-100
1782670260,0,4096,4096,0,0,0,0,0,0,4096,2073600,2073600,1080,11127,FULL,100,-100,-100,100,100,-100,-100,-100
1782670261,0,4096,4096,0,0,0,0,0,0,6144,2073600,2073600,1080,11127,FULL,100,-100,-100,100,100,-100,-100,-100
1782670262,0,4096,4096,0,0,0,0,0,0,8192,2073600,2073600,1080,11127,FULL,100,-100,-100,100,100,-100,-100,-100
1782670263,0,4096,4096,0,0,0,0,0,0,12288,2073600,2073600,1080,11127,FULL,100,-100,-100,100,100,-100,-100,-100
1782670264,0,4096,4096,0,0,0,0,0,0,16384,2073600,2073600,1080,11127,FULL,100,-100,-100,100,100,-100,-100,-100
1782670266,0,4096,4096,0,0,0,0,0,0,24576,2073600,2073600,1080,11127,FULL,100,-100,-100,100,100,-100,-100,-100
1782670274,0,4096,4096,0,0,0,0,0,0,4096,2073600,2073600,1080,11127,FULL,-100,100,-100,100,100,-100,-100,-100
1782670275,0,4096,4096,0,0,0,0,0,0,6144,2073600,2073600,1080,11127,FULL,-100,100,-100,100,100,-100,-100,-100
1782670276,0,4096,4096,0,0,0,0,0,0,8192,2073600,2073600,1080,11127,FULL,-100,100,-100,100,100,-100,-100,-100
1782670277,0,4096,4096,0,0,0,0,0,0,12288,2073600,2073600,1080,11127,FULL,-100,100,-100,100,100,-100,-100,-100
1782670278,0,4096,4096,0,0,0,0,0,0,16384,2073600,2073600,1080,11127,FULL,-100,100,-100,100,100,-100,-100,-100
1782670280,0,4096,4096,0,0,0,0,0,0,24576,2073600,2073600,1080,11127,FULL,-100,100,-100,100,100,-100,-100,-100
1782670289,0,4096,4096,0,0,0,0,0,0,4096,2073600,2073600,1080,11280,FULL,100,100,-100,100,100,-100,-100,-100
1782670290,0,4096,4096,0,0,0,0,0,0,6144,2073600,2073600,1080,11298,FULL,100,100,-100,100,100,-100,-100,-100
1782670290,0,4096,4096,0,0,0,0,0,0,8192,2073600,2073600,1080,11293,FULL,100,100,-100,100,100,-100,-100,-100
1782670292,0,4096,4096,0,0,0,0,0,0,12288,2073600,2073600,1080,11273,FULL,100,100,-100,100,100,-100,-100,-100
1782670293,0,4096,4096,0,0,0,0,0,0,16384,2073600,2073600,1080,11277,FULL,100,100,-100,100,100,-100,-100,-100
1782670294,0,4096,4096,0,0,0,0,0,0,24576,2073600,2073600,1080,11301,FULL,100,100,-100,100,100,-100,-100,-100
1782670303,0,4096,4096,0,0,0,0,0,0,4096,2073600,2073600,1080,11127,FULL,-100,-100,100,100,100,-100,-100,-100
1782670304,0,4096,4096,0,0,0,0,0,0,6144,2073600,2073600,1080,11127,FULL,-100,-100,100,100,100,-100,-100,-100
1782670305,0,4096,4096,0,0,0,0,0,0,8192,2073600,2073600,1080,11127,FULL,-100,-100,100,100,100,-100,-100,-100
1782670306,0,4096,4096,0,0,0,0,0,0,12288,2073600,2073600,1080,11127,FULL,-100,-100,100,100,100,-100,-100,-100
1782670307,0,4096,4096,0,0,0,0,0,0,16384,2073600,2073600,1080,11127,FULL,-100,-100,100,100,100,-100,-100,-100
1782670308,0,4096,4096,0,0,0,0,0,0,24576,2073600,2073600,1080,11127,FULL,-100,-100,100,100,100,-100,-100,-100
1782670317,0,4096,4096,0,0,0,0,0,0,4096,2073600,2073600,1080,11127,FULL,100,-100,100,100,100,-100,-100,-100
1782670318,0,4096,4096,0,0,0,0,0,0,6144,2073600,2073600,1080,11127,FULL,100,-100,100,100,100,-100,-100,-100
1782670319,0,4096,4096,0,0,0,0,0,0,8192,2073600,2073600,1080,11127,FULL,100,-100,100,100,100,-100,-100,-100
1782670320,0,4096,4096,0,0,0,0,0,0,12288,2073600,2073600,1080,11127,FULL,100,-100,100,100,100,-100,-100,-100
